Jurisdiction,HHS Region,Doses allocated week of 12/21,Second Dose Shipment (28 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (28 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (28 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (28 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (28 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (28 days later) week of 01/25,"Total Moderna Allocation ""First Dose"" Shipments","Total Allocation Moderna""Second Dose"" Shipments"
Connecticut,Region 1,"63,300","63,300","21,900","21,900","21,800","21,800","21,900","21,900","23,000","23,000","23,000","23,000","174,900","174,900"
Maine,Region 1,"24,200","24,200","8,400","8,400","8,300","8,300","8,400","8,400","8,800","8,800","8,800","8,800","66,900","66,900"
Massachusetts,Region 1,"121,900","121,900","42,100","42,100","42,000","42,000","42,100","42,100","44,300","44,300","44,300","44,300","336,700","336,700"
New Hampshire,Region 1,"24,200","24,200","8,400","8,400","8,400","8,400","8,400","8,400","8,800","8,800","8,800","8,800","67,000","67,000"
Rhode Island,Region 1,"19,000","19,000","6,600","6,600","6,600","6,600","6,600","6,600","6,900","6,900","6,900","6,900","52,600","52,600"
Vermont,Region 1,"11,400","11,400","4,000","4,000","3,900","3,900","4,000","4,000","4,200","4,200","4,200","4,200","31,700","31,700"
New Jersey,Region 2,"154,500","154,500","53,400","53,400","53,200","53,200","53,400","53,400","56,100","56,100","56,100","56,100","426,700","426,700"
New York,Region 2,"196,800","196,800","68,000","68,000","67,700","67,700","68,000","68,000","71,400","71,400","71,400","71,400","543,300","543,300"
New York City,Region 2,"149,400","149,400","51,600","51,600","51,400","51,400","51,600","51,600","54,200","54,200","54,200","54,200","412,400","412,400"
Puerto Rico,Region 2,"60,400","60,400","20,900","20,900","20,800","20,800","20,900","20,900","21,900","21,900","21,900","21,900","166,800","166,800"
U.S. Virgin Islands,Region 2,"1,900","1,900",700,700,700,700,700,700,700,700,700,700,"5,400","5,400"
Delaware,Region 3,"16,700","16,700","5,800","5,800","5,800","5,800","5,800","5,800","6,100","6,100","6,100","6,100","46,300","46,300"
District of Columbia,Region 3,"12,600","12,600","4,400","4,400","4,400","4,400","4,400","4,400","4,600","4,600","4,600","4,600","35,000","35,000"
Maryland,Region 3,"104,300","104,300","36,000","36,000","35,900","35,900","36,000","36,000","37,800","37,800","37,800","37,800","287,800","287,800"
Pennsylvania,Region 3,"198,800","198,800","68,700","68,700","68,400","68,400","68,700","68,700","72,100","72,100","72,100","72,100","548,800","548,800"
Philadelphia,Region 3,"27,600","27,600","9,500","9,500","9,500","9,500","9,500","9,500","10,000","10,000","10,000","10,000","76,100","76,100"
Virginia,Region 3,"146,400","146,400","50,600","50,600","50,400","50,400","50,600","50,600","53,100","53,100","53,100","53,100","404,200","404,200"
West Virginia,Region 3,"32,600","32,600","11,300","11,300","11,200","11,200","11,300","11,300","11,900","11,900","11,900","11,900","90,200","90,200"
Alabama,Region 4,"84,300","84,300","29,100","29,100","29,000","29,000","29,100","29,100","30,600","30,600","30,600","30,600","232,700","232,700"
Florida,Region 4,"367,900","367,900","127,100","127,100","126,600","126,600","127,100","127,100","133,500","133,500","133,500","133,500","1,015,700","1,015,700"
Georgia,Region 4,"174,400","174,400","60,200","60,200","60,000","60,000","60,200","60,200","63,300","63,300","63,300","63,300","481,400","481,400"
Kentucky,Region 4,"76,700","76,700","26,500","26,500","26,400","26,400","26,500","26,500","27,900","27,900","27,900","27,900","211,900","211,900"
Mississippi,Region 4,"50,800","50,800","17,600","17,600","17,500","17,500","17,600","17,600","18,500","18,500","18,500","18,500","140,500","140,500"
North Carolina,Region 4,"175,900","175,900","60,800","60,800","60,500","60,500","60,800","60,800","63,800","63,800","63,800","63,800","485,600","485,600"
South Carolina,Region 4,"86,400","86,400","29,900","29,900","29,700","29,700","29,900","29,900","31,400","31,400","31,400","31,400","238,700","238,700"
Tennessee,Region 4,"115,200","115,200","39,800","39,800","39,700","39,700","39,800","39,800","41,800","41,800","41,800","41,800","318,100","318,100"
Chicago,Region 5,"46,800","46,800","16,200","16,200","16,100","16,100","16,200","16,200","17,000","17,000","17,000","17,000","129,300","129,300"
Illinois,Region 5,"174,600","174,600","60,300","60,300","60,100","60,100","60,300","60,300","63,300","63,300","63,300","63,300","481,900","481,900"
Indiana,Region 5,"113,300","113,300","39,200","39,200","39,000","39,000","39,200","39,200","41,100","41,100","41,100","41,100","312,900","312,900"
Michigan,Region 5,"173,600","173,600","60,000","60,000","59,800","59,800","60,000","60,000","63,000","63,000","63,000","63,000","479,400","479,400"
Minnesota***,Region 5,"94,900","94,900","32,900","32,900","32,700","32,700","32,900","32,900","34,500","34,500","34,500","34,500","262,400","262,400"
Ohio,Region 5,"201,900","201,900","69,700","69,700","69,500","69,500","69,700","69,700","73,200","73,200","73,200","73,200","557,200","557,200"
Wisconsin***,Region 5,"101,000","101,000","34,900","34,900","34,700","34,700","34,900","34,900","36,700","36,700","36,700","36,700","278,900","278,900"
Arkansas,Region 6,"51,100","51,100","17,700","17,700","17,600","17,600","17,700","17,700","18,600","18,600","18,600","18,600","141,300","141,300"
Louisiana,Region 6,"79,500","79,500","27,500","27,500","27,400","27,400","27,500","27,500","28,900","28,900","28,900","28,900","219,700","219,700"
New Mexico***,Region 6,"36,100","36,100","12,500","12,500","12,500","12,500","12,500","12,500","13,200","13,200","13,200","13,200","100,000","100,000"
Oklahoma,Region 6,"66,200","66,200","22,900","22,900","22,800","22,800","22,900","22,900","24,100","24,100","24,100","24,100","183,000","183,000"
Texas,Region 6,"460,500","460,500","159,100","159,100","158,500","158,500","159,100","159,100","167,100","167,100","167,100","167,100","1,271,400","1,271,400"
San Antonio ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Houston ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Iowa,Region 7,"53,800","53,800","18,600","18,600","18,500","18,500","18,600","18,600","19,500","19,500","19,500","19,500","148,500","148,500"
Kansas,Region 7,"49,100","49,100","17,000","17,000","16,900","16,900","17,000","17,000","17,800","17,800","17,800","17,800","135,600","135,600"
Missouri,Region 7,"105,300","105,300","36,400","36,400","36,200","36,200","36,400","36,400","38,200","38,200","38,200","38,200","290,700","290,700"
Nebraska***,Region 7,"32,400","32,400","11,200","11,200","11,200","11,200","11,200","11,200","11,800","11,800","11,800","11,800","89,600","89,600"
Colorado,Region 8,"95,600","95,600","33,000","33,000","32,900","32,900","33,000","33,000","34,700","34,700","34,700","34,700","263,900","263,900"
Montana,Region 8,"18,300","18,300","6,400","6,400","6,300","6,300","6,400","6,400","6,700","6,700","6,700","6,700","50,800","50,800"
North Dakota***,Region 8,"13,200","13,200","4,600","4,600","4,600","4,600","4,600","4,600","4,800","4,800","4,800","4,800","36,600","36,600"
South Dakota,Region 8,"14,600","14,600","5,100","5,100","5,100","5,100","5,100","5,100","5,300","5,300","5,300","5,300","40,500","40,500"
Utah***,Region 8,"47,800","47,800","16,600","16,600","16,500","16,500","16,600","16,600","17,400","17,400","17,400","17,400","132,300","132,300"
Wyoming,Region 8,"10,000","10,000","3,500","3,500","3,500","3,500","3,500","3,500","3,700","3,700","3,700","3,700","27,900","27,900"
Arizona***,Region 9,"119,400","119,400","41,300","41,300","41,100","41,100","41,300","41,300","43,400","43,400","43,400","43,400","329,900","329,900"
California,Region 9,"672,600","672,600","232,300","232,300","231,400","231,400","232,300","232,300","244,000","244,000","244,000","244,000","1,856,600","1,856,600"
Hawaii,Region 9,"25,000","25,000","8,700","8,700","8,600","8,600","8,700","8,700","9,100","9,100","9,100","9,100","69,200","69,200"
Nevada,Region 9,"50,300","50,300","17,400","17,400","17,300","17,300","17,400","17,400","18,300","18,300","18,300","18,300","139,000","139,000"
American Samoa**,Region 9,"2,400",N/A,N/A,N/A,"2,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,800",0
Guam**,Region 9,"7,600",N/A,N/A,N/A,"7,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"14,800",0
Marshall Islands*,Region 9,"7,200",N/A,N/A,N/A,"6,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"13,600",0
Micronesia*,Region 9,"9,800",N/A,N/A,N/A,"9,600",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"19,400",0
Mariana Islands**,Region 9,"2,600",N/A,N/A,N/A,"2,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,000",0
Palau*,Region 9,"2,800",N/A,N/A,N/A,"3,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,000",0
Alaska***,Region 10,"26,800","26,800",N/A,N/A,"25,600","25,600",N/A,N/A,N/A,N/A,N/A,N/A,"52,400","52,400"
Idaho,Region 10,"28,000","28,000","9,700","9,700","9,700","9,700","9,700","9,700","10,200","10,200","10,200","10,200","77,500","77,500"
Oregon***,Region 10,"72,100","72,100","25,000","25,000","24,800","24,800","25,000","25,000","26,200","26,200","26,200","26,200","199,300","199,300"
Washington***,Region 10,"128,000","128,000","44,300","44,300","44,100","44,100","44,300","44,300","46,500","46,500","46,500","46,500","353,700","353,700"
Federal Entities ****,N/A,"298,200","289,200","100,000","100,000","108,400","99,600","99,900","99,900","105,000","105,000","105,000","105,000","816,500","798,700"
Total,,"5,990,000","5,948,600","2,047,300","2,047,300","2,104,400","2,064,400","2,047,200","2,047,200","2,150,000","2,150,000","2,150,000","2,150,000",,
